nb_clients,T,s,n_rounds,corrected_budget,build_seconds,solve_seconds,status,objective_value,achieved_GHG
14,15,20,34,18.692286000000003,0.00044930505100637674,0.0033645799849182367,greedy_done,15.862056723482919,18.686435999999997
14,15,40,54,18.539829000000005,0.0009108029771596193,0.005691337981261313,greedy_done,16.10402899073753,18.522821999999998
14,15,60,74,18.445674000000004,0.0016999050276353955,0.007481280015781522,greedy_done,16.14058525980825,18.346881000000003
14,15,80,94,18.361449000000004,0.0026778769679367542,0.00930486002471298,greedy_done,16.157733752187198,18.30998400000001
14,15,100,114,18.371796000000003,0.0038658619159832597,0.011421778006479144,greedy_done,16.18314105206666,18.327951000000013
14,5,20,24,5.308074,0.00022135803010314703,0.0012253689346835017,greedy_done,14.195144860914747,5.225529000000001
14,5,40,44,5.438070000000001,0.0006647380068898201,0.002444403013214469,greedy_done,14.420618341283468,5.427018000000002
14,5,60,64,5.220699,0.0012778639793395996,0.003469872986897826,greedy_done,14.413042880139411,5.206955999999999
14,5,80,84,5.176404,0.0021843169815838337,0.0042070329654961824,greedy_done,14.40116643225261,5.154753
14,5,100,104,5.211453000000001,0.003251396003179252,0.005145255010575056,greedy_done,14.423979247260206,5.203029
14,3,20,22,2.589678,0.0002137890551239252,0.0007822859333828092,greedy_done,13.293904070321751,2.5862069999999995
14,3,40,42,2.7460649999999998,0.0005892270710319281,0.0015782659174874425,greedy_done,13.506930709418208,2.725644
14,3,60,62,2.5930920000000004,0.0012126920046284795,0.0022339409915730357,greedy_done,13.483133221390501,2.5798259999999997
14,3,80,82,2.514012,0.002079157973639667,0.0026690709637477994,greedy_done,13.423189617145342,2.470524
14,3,100,102,2.516337,0.0031335990643128753,0.003264270955696702,greedy_done,13.423327996835358,2.467737
28,90,20,109,241.728087,0.006811706000007689,0.04299647605512291,greedy_done,37.056510736520224,241.6880489999999
28,90,40,129,241.89473999999998,0.009626306942664087,0.052467530011199415,greedy_done,37.3559572495595,241.81779899999984
28,90,60,149,241.92355199999997,0.01291371206752956,0.06151034194044769,greedy_done,37.5482417365842,241.88383500000003
28,90,80,169,241.88254799999999,0.016470405971631408,0.06922969699371606,greedy_done,37.68553682877048,241.7464800000001
28,90,100,189,241.94484599999998,0.020725457929074764,0.07602024299558252,greedy_done,37.83776398301467,241.85593500000007
28,75,20,94,197.13648900000004,0.005196432000957429,0.03447603399399668,greedy_done,36.460937441094956,197.09291399999967
28,75,40,114,196.97022300000003,0.007405779091641307,0.04330750601366162,greedy_done,36.777851557394946,196.95282899999964
28,75,60,134,196.98510900000002,0.010493424953892827,0.05128816608339548,greedy_done,36.981047472645294,196.9575719999998
28,75,80,154,197.19146700000002,0.01382626302074641,0.058413770981132984,greedy_done,37.12930376004355,197.15873399999978
28,75,100,174,197.30049300000002,0.01735680701676756,0.06470771296881139,greedy_done,37.23668832540818,197.21474099999992
